序號,案件名稱,裁判日期,裁判案由,違約金類型,最終違約金類型,Target
213,臺灣臺中地方法院 114 年度 司促 字第 1121 號民事裁定,2025-01-10,支付命令,"根據提供的契約內容，屬於**損害賠償性編號2**。

理由：

契約內容主要在追討積欠的本金及利息，以及督促程序費用。這些費用都與債務人實際欠款和程序成本直接相關。雖然提及逾期利息，但這是根據契約約定的利率計算，而非額外懲罰。  金額雖然沒有明確指出是否低於損害的30%，但從內容來看，其目的是償還債務及相關費用，並非對違約行為進行額外懲罰。  最後關於強制執行的說明，是為了確保債權的實現，而非單純為了懲罰債務人。


雖然契約提到「已喪失期限利益，全部債務視為到期」，但這只是債權人依據契約條款行使的權利，並非額外懲罰性措施。  整體而言，其目的在於償還債權，符合損害賠償性的定義。
","根據提供的契約內容，屬於**損害賠償性編號2**。

理由：

契約內容主要在追討積欠的本金及利息，以及督促程序費用。這些費用都與債務人實際欠款和程序成本直接相關。雖然提及逾期利息，但這是根據契約約定的利率計算，而非額外懲罰。  金額雖然沒有明確指出是否低於損害的30%，但從內容來看，其目的是償還債務及相關費用，並非對違約行為進行額外懲罰。  最後關於強制執行的說明，是為了確保債權的實現，而非單純為了懲罰債務人。


雖然契約提到「已喪失期限利益，全部債務視為到期」，但這只是債權人依據契約條款行使的權利，並非額外懲罰性措施。  整體而言，其目的在於償還債權，符合損害賠償性的定義。
",2
214,臺灣臺中地方法院 114 年度 司促 字第 1119 號民事裁定,2025-01-10,支付命令,"根據提供的內容，這屬於**損害賠償性編號2**。

理由：

裁定書中明確列出了債務人的欠款明細，包括消費本金、利息、逾期費用。這些費用都與債務人的實際行為（信用卡消費及逾期未還款）直接相關，並非額外懲罰。  雖然有利息計算，但這是基於銀行法及約定條款的合法利息，而非懲罰性違約金。  50,846元（本金+利息+逾期費用）的金額，與實際欠款以及相關費用相符，並未明顯超過應負擔的合理範圍。  裁定書的目的是追討債務，而非對債務人進行額外的懲罰。  最後，督促程序費用500元也屬於合理的訴訟費用，與損害賠償的本質無關。

總而言之，該裁定書旨在追討債權人的實際損失，符合損害賠償性的定義。
","根據提供的內容，這屬於**損害賠償性編號2**。

理由：

裁定書中明確列出了債務人的欠款明細，包括消費本金、利息、逾期費用。這些費用都與債務人的實際行為（信用卡消費及逾期未還款）直接相關，並非額外懲罰。  雖然有利息計算，但這是基於銀行法及約定條款的合法利息，而非懲罰性違約金。  50,846元（本金+利息+逾期費用）的金額，與實際欠款以及相關費用相符，並未明顯超過應負擔的合理範圍。  裁定書的目的是追討債務，而非對債務人進行額外的懲罰。  最後，督促程序費用500元也屬於合理的訴訟費用，與損害賠償的本質無關。

總而言之，該裁定書旨在追討債權人的實際損失，符合損害賠償性的定義。
",2
215,臺灣臺中地方法院 114 年度 司促 字第 1075 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**懲罰性編號1**。

契約中約定逾期未繳款部分，除了原本的利息外，另需支付違約金，且逾期時間越長，違約金利率越高(六個月內10%，六個月以上至九個月內20%)。  這明顯超過了單純補償債權人損失的範圍，屬於對債務人違約行為的懲罰性措施。  雖然契約中也提及了本金及利息，但高額的、與逾期時間掛鉤的違約金是此契約的主要特徵，符合懲罰性違約金的定義。  因此，即使包含了本金和利息的償還，整體判斷仍然更傾向於懲罰性。
","根據提供的內容，屬於**懲罰性編號1**。

契約中約定逾期未繳款部分，除了原本的利息外，另需支付違約金，且逾期時間越長，違約金利率越高(六個月內10%，六個月以上至九個月內20%)。  這明顯超過了單純補償債權人損失的範圍，屬於對債務人違約行為的懲罰性措施。  雖然契約中也提及了本金及利息，但高額的、與逾期時間掛鉤的違約金是此契約的主要特徵，符合懲罰性違約金的定義。  因此，即使包含了本金和利息的償還，整體判斷仍然更傾向於懲罰性。
",1
216,臺灣臺中地方法院 114 年度 司促 字第 1073 號民事裁定,2025-01-10,支付命令,"根據提供的契約內容，屬於**損害賠償性編號2**。

雖然契約中提及逾期未還款的違約金，並以超過六個月及九個月為區間，按不同利率計算，但這些違約金的計算基礎仍然是基於未償還的本金及利息，目的是為了彌補債權人因債務人違約而遭受的實際損失，而非單純的懲罰。  違約金的計算方法與實際損失有直接關聯，而非一個預設的固定金額或與損失無關的懲罰性罰款。  因此，儘管利率有所提高，但更接近於損害賠償的性質，而非單純的懲罰。
","根據提供的契約內容，屬於**損害賠償性編號2**。

雖然契約中提及逾期未還款的違約金，並以超過六個月及九個月為區間，按不同利率計算，但這些違約金的計算基礎仍然是基於未償還的本金及利息，目的是為了彌補債權人因債務人違約而遭受的實際損失，而非單純的懲罰。  違約金的計算方法與實際損失有直接關聯，而非一個預設的固定金額或與損失無關的懲罰性罰款。  因此，儘管利率有所提高，但更接近於損害賠償的性質，而非單純的懲罰。
",2
217,臺灣臺中地方法院 114 年度 司促 字第 1072 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**懲罰性編號1**。

理由：契約中約定逾期未還款的部分，將按年利率16%的百分之十或百分之二十計算違約金，且最高連續收取期數為9期。  這明顯超過了單純的損害賠償範圍，其目的並非補償債權人實際因逾期還款所遭受的損失（例如實際的資金運用損失），而是對債務人的違約行為進行額外的懲罰。  違約金的計算方式與實際損失無直接關聯，金額也可能遠超過實際損失的合理比例。  這符合懲罰性違約金的定義。
","根據提供的內容，屬於**懲罰性編號1**。

理由：契約中約定逾期未還款的部分，將按年利率16%的百分之十或百分之二十計算違約金，且最高連續收取期數為9期。  這明顯超過了單純的損害賠償範圍，其目的並非補償債權人實際因逾期還款所遭受的損失（例如實際的資金運用損失），而是對債務人的違約行為進行額外的懲罰。  違約金的計算方式與實際損失無直接關聯，金額也可能遠超過實際損失的合理比例。  這符合懲罰性違約金的定義。
",1
218,臺灣臺中地方法院 114 年度 司促 字第 1071 號民事裁定,2025-01-10,支付命令,"根據提供的內容，此裁定屬於**懲罰性編號1**。

理由：

契約中明確規定逾期未還款部分，將按年利率16% 的百分之十或百分之二十計算違約金，且最高連續收取期數為9期。這部分金額並非基於實際損失計算，而是預先約定的懲罰性違約金，其目的在於懲罰債務人的違約行為，而非單純補償債權人的損失。  雖然也包含利息和督促程序費用，但高額的違約金遠超出了這兩項費用，並且與實際損失的關聯性不明確。  因此，符合懲罰性違約金的定義。
","根據提供的內容，此裁定屬於**懲罰性編號1**。

理由：

契約中明確規定逾期未還款部分，將按年利率16% 的百分之十或百分之二十計算違約金，且最高連續收取期數為9期。這部分金額並非基於實際損失計算，而是預先約定的懲罰性違約金，其目的在於懲罰債務人的違約行為，而非單純補償債權人的損失。  雖然也包含利息和督促程序費用，但高額的違約金遠超出了這兩項費用，並且與實際損失的關聯性不明確。  因此，符合懲罰性違約金的定義。
",1
219,臺灣臺中地方法院 114 年度 司促 字第 1068 號民事裁定,2025-01-10,支付命令,"根據提供的內容，判斷結果為**損害賠償性編號2**。

理由：

契約內容描述的是信用卡欠款，債權人要求債務人償還欠款本金（36,905元）以及利息（2,255元 = 39160 - 36905），以及督促程序費用（500元）。  這些費用都與實際發生的損失直接相關。  雖然利息年利率為15%，但這是基於信用卡約定條款，而非額外懲罰性罰款。  整體金額並沒有明顯超過合理損失的範圍，因此更接近損害賠償的性質，而非懲罰性違約金。  關鍵在於金額的計算是基於實際欠款及相關費用，而非預先設定的懲罰性金額。
","根據提供的內容，判斷結果為**損害賠償性編號2**。

理由：

契約內容描述的是信用卡欠款，債權人要求債務人償還欠款本金（36,905元）以及利息（2,255元 = 39160 - 36905），以及督促程序費用（500元）。  這些費用都與實際發生的損失直接相關。  雖然利息年利率為15%，但這是基於信用卡約定條款，而非額外懲罰性罰款。  整體金額並沒有明顯超過合理損失的範圍，因此更接近損害賠償的性質，而非懲罰性違約金。  關鍵在於金額的計算是基於實際欠款及相關費用，而非預先設定的懲罰性金額。
",2
220,臺灣臺中地方法院 114 年度 司促 字第 1067 號民事裁定,2025-01-10,支付命令,"根據提供的內容，此裁定屬於**損害賠償性編號2**。

理由如下：

* **利息計算:**  裁定中提及的年息15%是根據信用卡契約約定計算的逾期利息，而非額外的懲罰性罰金。這是基於債務人違約（未按時還款）而產生的實際損失（債權人的資金成本）。  雖然利率高，但它源自契約約定，並非單純的懲罰。

* **督促程序費用:**  500元的督促程序費用屬於實際發生的費用，用以補償債權人進行訴訟程序所支出的成本，符合損害賠償的性質。

* **金額與損失關係:**  雖然沒有明確說明37,309元是如何計算出來的，但從敘述來看，它是基於債務人未還清的信用卡欠款，這與實際的損失直接相關。


雖然15%的年利率看起來很高，但缺乏額外的罰款或懲罰性條款，且利息計算是基於契約約定，旨在彌補債權人因債務人違約所造成的實際損失，因此更符合損害賠償性的定義。  即使利率高於一般損害賠償的30%比例，也並非單純的懲罰，而是源於契約約定中的利率條款。  因此，選擇損害賠償性編號2更為貼切。
","根據提供的內容，此裁定屬於**損害賠償性編號2**。

理由如下：

* **利息計算:**  裁定中提及的年息15%是根據信用卡契約約定計算的逾期利息，而非額外的懲罰性罰金。這是基於債務人違約（未按時還款）而產生的實際損失（債權人的資金成本）。  雖然利率高，但它源自契約約定，並非單純的懲罰。

* **督促程序費用:**  500元的督促程序費用屬於實際發生的費用，用以補償債權人進行訴訟程序所支出的成本，符合損害賠償的性質。

* **金額與損失關係:**  雖然沒有明確說明37,309元是如何計算出來的，但從敘述來看，它是基於債務人未還清的信用卡欠款，這與實際的損失直接相關。


雖然15%的年利率看起來很高，但缺乏額外的罰款或懲罰性條款，且利息計算是基於契約約定，旨在彌補債權人因債務人違約所造成的實際損失，因此更符合損害賠償性的定義。  即使利率高於一般損害賠償的30%比例，也並非單純的懲罰，而是源於契約約定中的利率條款。  因此，選擇損害賠償性編號2更為貼切。
",2
221,臺灣臺南地方法院 113 年度 消債更 字第 623 號民事裁定,2025-01-13,更生事件,"這個裁定書內容是關於債務人聲請更生程序的法院裁定，**並非關於契約違約的損害賠償或懲罰性條款**。因此，**編號1（懲罰性）和編號2（損害賠償性）的分類標準在此情境下並不適用**。裁定書討論的是債務人的財務狀況和更生程序的啟動，而非特定契約的違約責任。

因此，這個問題無法根據提供的分類標準判斷為編號1或編號2。  裁定書的重點在於債務人是否符合更生程序的資格，而不是處理契約違約金的問題。
","這個裁定書內容是關於債務人聲請更生程序的法院裁定，**並非關於契約違約的損害賠償或懲罰性條款**。因此，**編號1（懲罰性）和編號2（損害賠償性）的分類標準在此情境下並不適用**。裁定書討論的是債務人的財務狀況和更生程序的啟動，而非特定契約的違約責任。

因此，這個問題無法根據提供的分類標準判斷為編號1或編號2。  裁定書的重點在於債務人是否符合更生程序的資格，而不是處理契約違約金的問題。
",0
222,臺灣臺南地方法院 113 年度 消債更 字第 634 號民事裁定,2025-01-13,更生事件,"這段文字是**臺灣臺南地方法院 113 年度消債更字第 634 號民事裁定**，內容是關於債務人郭惠婷的更生聲請。裁定准許郭惠婷的更生聲請，並未涉及任何契約違約金的計算或賠償問題。因此，這個裁定與懲罰性違約金（編號1）或損害賠償性違約金（編號2）**均無關聯**。  

因為題目要求必須選擇編號1或編號2，而此裁定與兩者皆無關，則我只能說此裁定**與編號2（損害賠償性）更為接近**，因為更生程序的本質是協助債務人重新開始，某種程度上類似於對債權人損失的「部分」彌補，而非對債務人的懲罰。但這是一種非常寬鬆的解釋，實際上並不符合損害賠償的定義。
","這段文字是**臺灣臺南地方法院 113 年度消債更字第 634 號民事裁定**，內容是關於債務人郭惠婷的更生聲請。裁定准許郭惠婷的更生聲請，並未涉及任何契約違約金的計算或賠償問題。因此，這個裁定與懲罰性違約金（編號1）或損害賠償性違約金（編號2）**均無關聯**。  

因為題目要求必須選擇編號1或編號2，而此裁定與兩者皆無關，則我只能說此裁定**與編號2（損害賠償性）更為接近**，因為更生程序的本質是協助債務人重新開始，某種程度上類似於對債權人損失的「部分」彌補，而非對債務人的懲罰。但這是一種非常寬鬆的解釋，實際上並不符合損害賠償的定義。
",0
223,臺灣橋頭地方法院 113 年度 建 字第 38 號民事裁定,2025-01-10,給付工程款,"根據提供的法院裁定書內容，屬於**損害賠償性編號2**。

裁定書提及反訴原告請求反訴被告返還承攬報酬2,016,888元，以及給付修繕費用26,000元，合計2,042,888元。  這筆金額是基於反訴原告主張的實際損失（已支付的承攬報酬及必要的修繕費用）提出的請求。  裁定書並未提及任何額外罰金或懲罰性條款，而是針對反訴原告未繳納裁判費所做的裁定。  因此，更符合損害賠償性的定義。  即使金額較高，但其依據是具體的損失項目，並非額外懲罰。
","根據提供的法院裁定書內容，屬於**損害賠償性編號2**。

裁定書提及反訴原告請求反訴被告返還承攬報酬2,016,888元，以及給付修繕費用26,000元，合計2,042,888元。  這筆金額是基於反訴原告主張的實際損失（已支付的承攬報酬及必要的修繕費用）提出的請求。  裁定書並未提及任何額外罰金或懲罰性條款，而是針對反訴原告未繳納裁判費所做的裁定。  因此，更符合損害賠償性的定義。  即使金額較高，但其依據是具體的損失項目，並非額外懲罰。
",2
224,臺灣屏東地方法院 113 年度 司促 字第 13967 號民事裁定,2025-01-10,支付命令,"根據提供的內容，最接近**損害賠償性編號2**。

理由：

雖然契約中提及15%的年利率利息，但這並非額外罰金，而是根據信用卡約定條款中逾期未還款的約定利率計算的利息，屬於債務人應負擔的債務成本，用以彌補債權人因資金占用而產生的損失。  500元的督促程序費用也是實際發生的費用。  6933元本金是未償還的信用卡債務，是實際的損失。  整體金額並未遠超過實際損失的合理比例（需進一步了解6933元與實際消費金額的關係，但就目前資訊判斷並未明顯過高）。  因此，更符合損害賠償性的定義。

雖然有強制執行的條款，但這並非懲罰性違約金的獨有特徵，損害賠償也可能需要強制執行來實現。
","根據提供的內容，最接近**損害賠償性編號2**。

理由：

雖然契約中提及15%的年利率利息，但這並非額外罰金，而是根據信用卡約定條款中逾期未還款的約定利率計算的利息，屬於債務人應負擔的債務成本，用以彌補債權人因資金占用而產生的損失。  500元的督促程序費用也是實際發生的費用。  6933元本金是未償還的信用卡債務，是實際的損失。  整體金額並未遠超過實際損失的合理比例（需進一步了解6933元與實際消費金額的關係，但就目前資訊判斷並未明顯過高）。  因此，更符合損害賠償性的定義。

雖然有強制執行的條款，但這並非懲罰性違約金的獨有特徵，損害賠償也可能需要強制執行來實現。
",2
225,臺灣屏東地方法院 113 年度 司促 字第 13895 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**損害賠償性編號2**。

理由：

判決書內容指出債務人未償還信用卡款項17,337元（其中本金15,681元），並要求支付利息及督促程序費用500元。  這些費用都與債務人的實際違約行為（未償還信用卡款項）及後續處理程序相關。  雖然有提到利息，但這是基於信用卡契約約定的正常利息，而非額外的懲罰性違約金。  500元的督促程序費用也是實際發生的費用。  整體金額並未顯著超出實際損失範圍，更沒有提到任何額外的罰金或懲罰性條款。  因此，更符合損害賠償性的定義。
","根據提供的內容，屬於**損害賠償性編號2**。

理由：

判決書內容指出債務人未償還信用卡款項17,337元（其中本金15,681元），並要求支付利息及督促程序費用500元。  這些費用都與債務人的實際違約行為（未償還信用卡款項）及後續處理程序相關。  雖然有提到利息，但這是基於信用卡契約約定的正常利息，而非額外的懲罰性違約金。  500元的督促程序費用也是實際發生的費用。  整體金額並未顯著超出實際損失範圍，更沒有提到任何額外的罰金或懲罰性條款。  因此，更符合損害賠償性的定義。
",2
226,臺灣屏東地方法院 113 年度 司促 字第 13685 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**損害賠償性編號2**。

理由：

文件顯示的是支付命令，債權人請求債務人償還本金181,829元，以及利息和督促程序費用500元。  這些金額與債務人的未償還債務以及訴訟費用直接相關。  雖然利息利率在後期顯著提高(15%)，但這並非額外的懲罰性違約金，而是基於合約約定的遲延利息。  整體金額是基於債務關係而產生，旨在補償債權人的實際損失，而非對債務人進行額外的懲罰。  沒有提及任何額外的罰金或懲罰性條款。
","根據提供的內容，屬於**損害賠償性編號2**。

理由：

文件顯示的是支付命令，債權人請求債務人償還本金181,829元，以及利息和督促程序費用500元。  這些金額與債務人的未償還債務以及訴訟費用直接相關。  雖然利息利率在後期顯著提高(15%)，但這並非額外的懲罰性違約金，而是基於合約約定的遲延利息。  整體金額是基於債務關係而產生，旨在補償債權人的實際損失，而非對債務人進行額外的懲罰。  沒有提及任何額外的罰金或懲罰性條款。
",2
227,臺灣屏東地方法院 113 年度 司促 字第 13681 號民事裁定,2025-01-10,支付命令,"根據提供的內容，這份裁定屬於**損害賠償性編號2**。

理由：

裁定內容顯示債權人（台新銀行）要求債務人償還本金及利息，以及支付督促程序費用。  雖然利息計算中包含高利率（例如週年利率百分之15），但這些利率是基於原借款契約約定，用以計算債務人逾期未還款所產生的利息，而非額外附加的懲罰性違約金。  500元的督促程序費用也屬於實際產生的費用，而非懲罰。  整體而言，裁定的目的是追討債務人的欠款及其衍生的費用，符合損害賠償的定義，而非對債務人進行額外的懲罰。  雖然高利率可能導致總金額較高，但這並非懲罰，而是契約約定的利息計算方式。  關鍵在於沒有額外的、與實際損失無關的罰款。
","根據提供的內容，這份裁定屬於**損害賠償性編號2**。

理由：

裁定內容顯示債權人（台新銀行）要求債務人償還本金及利息，以及支付督促程序費用。  雖然利息計算中包含高利率（例如週年利率百分之15），但這些利率是基於原借款契約約定，用以計算債務人逾期未還款所產生的利息，而非額外附加的懲罰性違約金。  500元的督促程序費用也屬於實際產生的費用，而非懲罰。  整體而言，裁定的目的是追討債務人的欠款及其衍生的費用，符合損害賠償的定義，而非對債務人進行額外的懲罰。  雖然高利率可能導致總金額較高，但這並非懲罰，而是契約約定的利息計算方式。  關鍵在於沒有額外的、與實際損失無關的罰款。
",2
228,臺灣屏東地方法院 113 年度 司促 字第 13679 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**懲罰性編號1**。

理由：契約中提及的違約金計算方式，按週年利率百分之10 (逾期6個月內) 或百分之20 (逾期超過6個月) 計算，並非直接與實際損失掛鉤。  「每次違約狀態最高連續收取期數為9期」也顯示了懲罰性的意圖，而非單純的損失補償。  雖然有提到「督促程序費用新臺幣500元」，但高額的違約金遠遠超過這個費用，主體仍然是具有懲罰性質的違約金。  這些都符合懲罰性違約金的定義。
","根據提供的內容，屬於**懲罰性編號1**。

理由：契約中提及的違約金計算方式，按週年利率百分之10 (逾期6個月內) 或百分之20 (逾期超過6個月) 計算，並非直接與實際損失掛鉤。  「每次違約狀態最高連續收取期數為9期」也顯示了懲罰性的意圖，而非單純的損失補償。  雖然有提到「督促程序費用新臺幣500元」，但高額的違約金遠遠超過這個費用，主體仍然是具有懲罰性質的違約金。  這些都符合懲罰性違約金的定義。
",1
229,臺灣屏東地方法院 113 年度 司促 字第 13645 號民事裁定,2025-01-10,支付命令,"根據提供的契約內容，應歸類為**懲罰性編號1**。

理由：契約中提及逾期未還款部分，將按年利率8.33%計算違約金，逾期6個月以內部分利率為10%，超過6個月至9個月以內部分利率為20%。此違約金計算方式與實際損失沒有直接且合理的關聯性，而是額外懲罰性的。  雖然契約中也包含了本金及利息，但高於年利率的違約金部分明顯具有懲罰性質，遠超過單純損害賠償的範圍。  因此，整體而言更符合懲罰性違約金的定義。
","根據提供的契約內容，應歸類為**懲罰性編號1**。

理由：契約中提及逾期未還款部分，將按年利率8.33%計算違約金，逾期6個月以內部分利率為10%，超過6個月至9個月以內部分利率為20%。此違約金計算方式與實際損失沒有直接且合理的關聯性，而是額外懲罰性的。  雖然契約中也包含了本金及利息，但高於年利率的違約金部分明顯具有懲罰性質，遠超過單純損害賠償的範圍。  因此，整體而言更符合懲罰性違約金的定義。
",1
230,臺灣屏東地方法院 113 年度 司促 字第 13639 號民事裁定,2025-01-10,支付命令,"根據提供的內容，此屬於**懲罰性編號1**。

契約中明確指出逾期未還款部分，將按利率的10%或20%計收違約金，且最高連續收取期數為9期。這與實際損失並無直接關聯，而是對違約行為的額外懲罰。  雖然提及利息和本金，但高於一般利率的違約金比例以及計算方式，都指向懲罰性的目的，而非單純的損失補償。  因此，即便包含了本金與利息，其違約金的計算方式更符合懲罰性違約金的定義。
","根據提供的內容，此屬於**懲罰性編號1**。

契約中明確指出逾期未還款部分，將按利率的10%或20%計收違約金，且最高連續收取期數為9期。這與實際損失並無直接關聯，而是對違約行為的額外懲罰。  雖然提及利息和本金，但高於一般利率的違約金比例以及計算方式，都指向懲罰性的目的，而非單純的損失補償。  因此，即便包含了本金與利息，其違約金的計算方式更符合懲罰性違約金的定義。
",1
231,臺灣屏東地方法院 113 年度 司促 字第 13637 號民事裁定,2025-01-10,支付命令,"根據提供的內容，最接近**懲罰性編號1**。

理由：契約中明確規定了逾期未還款的違約金計算方式，逾期6個月以內部分按年利率10%，逾期超過6個月至9個月以內部分按年利率20%計算。這與實際損失（利息）脫鉤，屬於額外罰款，目的在於懲罰債務人的違約行為，而非僅僅補償債權人的實際損失。  雖然契約中也提到要償還本金及利息，但高額的違約金比例遠超過一般損害賠償的合理範圍，更突顯其懲罰性的性質。
","根據提供的內容，最接近**懲罰性編號1**。

理由：契約中明確規定了逾期未還款的違約金計算方式，逾期6個月以內部分按年利率10%，逾期超過6個月至9個月以內部分按年利率20%計算。這與實際損失（利息）脫鉤，屬於額外罰款，目的在於懲罰債務人的違約行為，而非僅僅補償債權人的實際損失。  雖然契約中也提到要償還本金及利息，但高額的違約金比例遠超過一般損害賠償的合理範圍，更突顯其懲罰性的性質。
",1
232,臺灣臺中地方法院 114 年度 司促 字第 1127 號民事裁定,2025-01-10,支付命令,"根據提供的內容，這屬於**損害賠償性編號2**。

雖然內容提到「利息」和「違約金」，但這些並非單純的懲罰，而是基於借款契約，根據約定利率和逾期時間計算的費用。  契約中明確說明了利息和違約金的計算方式，與實際損失（逾期未還款造成的資金成本）具有關聯性。  違約金的計算方式也基於逾期時間長短調整比例，而非一個固定的懲罰性金額。  因此，更符合損害賠償性的定義，旨在補償債權人因債務人違約而產生的實際損失。  支付命令也僅是要求償還本金、利息、違約金及程序費用，沒有額外的懲罰性賠償。
","根據提供的內容，這屬於**損害賠償性編號2**。

雖然內容提到「利息」和「違約金」，但這些並非單純的懲罰，而是基於借款契約，根據約定利率和逾期時間計算的費用。  契約中明確說明了利息和違約金的計算方式，與實際損失（逾期未還款造成的資金成本）具有關聯性。  違約金的計算方式也基於逾期時間長短調整比例，而非一個固定的懲罰性金額。  因此，更符合損害賠償性的定義，旨在補償債權人因債務人違約而產生的實際損失。  支付命令也僅是要求償還本金、利息、違約金及程序費用，沒有額外的懲罰性賠償。
",2
233,臺灣臺中地方法院 114 年度 司促 字第 1121 號民事裁定,2025-01-10,支付命令,"根據提供的內容，應歸類為**損害賠償性編號2**。

雖然契約中提及利息，但這些利息是基於貸款契約約定的利率計算而來，是為了償還因債務人未依約還款而產生的實際財務損失，而非額外懲罰。  支付命令中包含本金、利息以及督促程序費用，這些都是與實際損失相關的金額。  沒有額外的罰金或明顯超過損失比例的費用。  因此，更符合損害賠償性的定義。
","根據提供的內容，應歸類為**損害賠償性編號2**。

雖然契約中提及利息，但這些利息是基於貸款契約約定的利率計算而來，是為了償還因債務人未依約還款而產生的實際財務損失，而非額外懲罰。  支付命令中包含本金、利息以及督促程序費用，這些都是與實際損失相關的金額。  沒有額外的罰金或明顯超過損失比例的費用。  因此，更符合損害賠償性的定義。
",2
234,臺灣臺中地方法院 114 年度 司促 字第 1119 號民事裁定,2025-01-10,支付命令,"根據提供的內容，案件屬於**損害賠償性編號2**。

理由如下：

* 債權人請求的金額包含本金(49,674元)、利息(2,572元)、逾期費用(1,200元)以及督促程序費用(500元)。這些費用都與債務人的違約行為直接相關，可以被視為實際損失的補償。
* 雖然有逾期費用，但金額並不顯然過高，且與契約約定(約定條款第15條第5項)相符，無法單純認定為懲罰性違約金。  需要檢視該約定條款的具體內容才能更精確判斷，但目前資訊不足以支持其為懲罰性違約金的判斷。
* 請求的總金額（53,946元）並未明顯超過債務人應付金額的30%，目前資訊無法判斷其是否合理，但至少沒有明顯超出合理範圍到足以認定為懲罰性的程度。
* 債權人請求的目的是為了償還債務及相關費用，而非對債務人進行額外的懲罰。


雖然部分費用（如逾期費用）可能帶有懲罰性質，但整體而言，請求的金額與債務人違約所造成的實際損失具有關聯性，更符合損害賠償的特性。因此，選擇損害賠償性編號2較為恰當。
","根據提供的內容，案件屬於**損害賠償性編號2**。

理由如下：

* 債權人請求的金額包含本金(49,674元)、利息(2,572元)、逾期費用(1,200元)以及督促程序費用(500元)。這些費用都與債務人的違約行為直接相關，可以被視為實際損失的補償。
* 雖然有逾期費用，但金額並不顯然過高，且與契約約定(約定條款第15條第5項)相符，無法單純認定為懲罰性違約金。  需要檢視該約定條款的具體內容才能更精確判斷，但目前資訊不足以支持其為懲罰性違約金的判斷。
* 請求的總金額（53,946元）並未明顯超過債務人應付金額的30%，目前資訊無法判斷其是否合理，但至少沒有明顯超出合理範圍到足以認定為懲罰性的程度。
* 債權人請求的目的是為了償還債務及相關費用，而非對債務人進行額外的懲罰。


雖然部分費用（如逾期費用）可能帶有懲罰性質，但整體而言，請求的金額與債務人違約所造成的實際損失具有關聯性，更符合損害賠償的特性。因此，選擇損害賠償性編號2較為恰當。
",2
235,臺灣臺中地方法院 114 年度 司促 字第 1075 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**懲罰性編號1**。

理由：契約中約定逾期未繳款部分，需支付超過遲延利息的額外違約金，且逾期時間越長，違約金比例越高 (6個月內10%，超過6個月至9個月內20%)。這明顯超過了單純補償債權人因遲延收款造成的損失的範圍，屬於對債務人違約行為的懲罰性措施，符合懲罰性違約金的特徵。  雖然提到賠償督促程序費用500元，但這屬於程序費用，與主要的違約金性質不同。  總體而言，高額的違約金設定旨在懲罰債務人，而非僅僅補償債權人的實際損失。
","根據提供的內容，屬於**懲罰性編號1**。

理由：契約中約定逾期未繳款部分，需支付超過遲延利息的額外違約金，且逾期時間越長，違約金比例越高 (6個月內10%，超過6個月至9個月內20%)。這明顯超過了單純補償債權人因遲延收款造成的損失的範圍，屬於對債務人違約行為的懲罰性措施，符合懲罰性違約金的特徵。  雖然提到賠償督促程序費用500元，但這屬於程序費用，與主要的違約金性質不同。  總體而言，高額的違約金設定旨在懲罰債務人，而非僅僅補償債權人的實際損失。
",1
236,臺灣臺中地方法院 114 年度 司促 字第 1073 號民事裁定,2025-01-10,支付命令,"根據提供的內容，這屬於**損害賠償性編號2**。

雖然契約提及逾期未繳款的違約金計算方式，並非固定的金額，而是根據逾期時間長短，按利率的不同百分比計算，但其依據仍然是借款本金和利率，是為彌補因債務人違約而造成的實際損失(利息及因資金週轉延遲而產生的損失)，而非額外懲罰。  契約中明確指出違約金的計算依據，並非一個獨立於實際損失之外的懲罰性金額。  並且，最高連續收取期數限制在9期，也限制了違約金的總額，避免其遠超過實際損害。  因此，更接近損害賠償的性質，而非懲罰性違約金。
","根據提供的內容，這屬於**損害賠償性編號2**。

雖然契約提及逾期未繳款的違約金計算方式，並非固定的金額，而是根據逾期時間長短，按利率的不同百分比計算，但其依據仍然是借款本金和利率，是為彌補因債務人違約而造成的實際損失(利息及因資金週轉延遲而產生的損失)，而非額外懲罰。  契約中明確指出違約金的計算依據，並非一個獨立於實際損失之外的懲罰性金額。  並且，最高連續收取期數限制在9期，也限制了違約金的總額，避免其遠超過實際損害。  因此，更接近損害賠償的性質，而非懲罰性違約金。
",2
